product,rating,price,img_url,brand,customer_say,gender,individual_review
NIKE Mens Low,3.5,75.0,https://m.media-amazon.com/images/I/81uxk72fVlL._AC_SX395_SY395_QL70_ML2_.jpg,Nike,No summary available.,Men,"Very comfy, and great value for money."
NIKE Mens RunAllDay,4.5,,https://m.media-amazon.com/images/I/71dhoJkzNJL._AC_SX395_SY395_QL70_ML2_.jpg https://m.media-amazon.com/images/I/41Vm-lWZGKS._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike Nike,"Customers find these running shoes comfortable and appreciate their great fit. They praise the shoes' fantastic quality, with one customer noting they offer Nike quality at a bargain price. Customers describe the shoes as stylish and sturdy. Customers find these running shoes comfortable and appreciate their great fit. They praise the shoes' fantastic quality, with one customer noting they offer Nike quality at a bargain price. Customers describe the shoes as stylish and sturdy.",Men Men,"Comfy, fits well. This is a repurchase 🙂"
NIKE Womens Tanjun,4.5,80.0,https://m.media-amazon.com/images/I/61jxPiq-MqL._AC_SY395_SX395_QL70_FMwebp_.jpg,Nike,"Customers find these running shoes comfortable with no break-in period and appreciate their true-to-size fit. They are lightweight, soft, and provide good cushioning, with one customer noting they feel like walking on a pillow. Customers like the style, color options, and wearability for all-day use, with one mentioning they're great for gym and work activities.",Women,These are my favorite sneakers they are very comfortable
NIKE Womens W Zoom Bella 6 Trainers,4.6,79.0,https://m.media-amazon.com/images/I/71MMlWvrz+L._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,"Customers find these sneakers comfortable and good-looking, with positive feedback about their quality. The sizing receives mixed reviews - while some say they fit true to size, others mention the shoes run small.",Women,"Why did you pick this product vs others?:I Love Nike shoes,\xa0 they consistent fit as expected,\xa0 look as shown and feel great!"
NIKE Womens WMNS Zoomx Ultrafly,3.3,131.0,https://m.media-amazon.com/images/I/71hHMvYrctL._AC_SX395_SY395_QL70_FMwebp_.jpg,Nike,No summary available.,Women,"I like it very much, nice and beautiful colors sneakers. But TOP fabric looks like wrinkled, so I return them."
New Balance BabyBoys 530 Bungee,4.3,65.0,https://m.media-amazon.com/images/I/71UBSfL-seL._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance,No summary available.,Unisex,"I definitely paid more on these than I was comfortable with but OMG, worth it!!! They are absolutely adorable on my 1 year old."
New Balance Boys 574 V1 Laceup,4.5,47.0,https://m.media-amazon.com/images/I/5150d2am2ZL._AC_SY395_SX395_QL70_ML2_.jpg,New Balance,"Customers find these sneakers comfortable, well-made, and super cute, with one customer noting they can wear them all day without feet hurting. The color receives positive feedback, and customers are impressed with the price. The fit and ease of putting them on receive mixed reviews - while some find them perfect and easy to put on, others say they're very narrow and tough to get on. Durability is also mixed, with some saying they're holding up nicely while others report them breaking within a month.",Unisex,Super cute and comfy true to size great quality and very much worth the money!
New Balance Girls,4.1,37.0,https://m.media-amazon.com/images/I/71gu2briC6L._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes good-looking, comfortable, and lightweight, with one customer noting they're particularly suitable for kids with wide feet. However, the durability is concerning, with multiple customers reporting that the top/toe area comes apart after a month of wear. Moreover, the velcro quality is problematic, with customers noting it fails quickly and doesn't stay closed. The quality and value for money receive mixed feedback, with some customers praising them while others find them low quality and not worth the money.",Unisex,Great Shoes for my daughter! The fit and color were what we were expecting. No complaints!
New Balance Mens 1540v3,4.4,118.0,https://m.media-amazon.com/images/I/81K6hA36XeL._AC_SX395_SY395_QL70_ML2_.jpg,New Balance,"Customers find these running shoes to be a great American-made product with good support, particularly for weak ankles, and appreciate their comfort, with one customer noting they can run for 2 miles comfortably. The shoes offer plenty of space for toes and are suitable for wide feet, though some find the toe box too small. Durability is a concern as the toe webbing comes apart, and while some consider them worth the price, others feel the quality doesn't match the cost. The cushioning receives mixed feedback, with some finding it feels great while others say it's not too cushiony.",Men,Why did you pick this product vs others?:Excellent quality shoe from a company New Balance that has an excellent reputation. This replaced an earlier version of this model and it fit perfectly as expected. It
New Balance Mens 2002 Trainers,4.6,135.0,https://m.media-amazon.com/images/I/61J6ISCGt5L._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance,No summary available.,Men,So comfortable and cute
New Balance Mens 237 V1,4.5,58.0,https://m.media-amazon.com/images/I/51RRdNSd03L._AC_SY395_SX395_QL70_ML2_.jpg,New Balance,"Customers find these sneakers comfortable, perfect for everyday wear, and appreciate their style, with one noting they can be dressed up or down. The shoes accommodate both narrow and slightly wider feet, and customers consider them good value for money. While some customers report the shoes last over two years, others mention they fell apart after first wear. Customers disagree on the sizing, with some finding them true to size while others say they run small.",Men,"New Balance men’s tennis shoes are a fantastic blend of comfort and performance! 🎾 They offer great support and cushioning, keeping my feet comfortable during long matches or practice sessions. The grip is excellent, providing reliable traction on the court without feeling stiff. Plus, they’re breathable and lightweight, so my feet stay cool and agile throughout play. Stylish and durable, these shoes are definitely a winner for any tennis player!"
New Balance Mens 408 V1,4.5,90.0,https://m.media-amazon.com/images/I/71tV5cOq56L._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these sneakers to be great walking shoes that are very comfortable and good-looking. The fit receives mixed feedback, with some customers saying it's perfect while others mention it's tight across the toe box.",Men,Great tennis shoe. Well made and very comfortable. Really nice design. Worth every penny!
New Balance Mens 410 V8,4.3,70.0,https://m.media-amazon.com/images/I/51p3i4VgDdL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes to be of good quality, comfortable, and well-fitting, with one customer noting they're roomy enough for arch support orthotics. The style receives positive feedback, and customers consider them good value for money. The durability and sizing receive mixed reviews - while the shoes hold up well on different surfaces, some customers report eyelets tearing out, and while some find them perfectly sized, others mention they run small. The width aspect also gets mixed feedback, with some praising the nice wide toe box while others find them very narrow.",Men,"Fit true to size. Awesome quality, provide great support and look nice! My husband isn\"
New Balance Mens 515 V3 Classic,4.6,70.0,https://m.media-amazon.com/images/I/51UA2pb7qmL._AC_SY395_SX395_QL70_ML2_.jpg,New Balance,"Customers find these sneakers comfortable, particularly noting the wide toe box and ability to wear them for hours without pain. The shoes receive positive feedback for their fit, quality, appearance, and value for money, with customers appreciating the color variety, coming in multiple options. Regarding durability and cushioning, customers report mixed experiences - while some say they stand up well to long periods of wear, others mention the soles deteriorate quickly, and while some find the cushioning appropriate, others say it's less than expected.",Men,This is my husband’s second pair of new balance 515 model he really likes them because they have a nice style of this model and the color they are very comfortable and fit perfect I have also the same model and they are my favorite shoe since I stand for long periods of time they a really good support and are great for running and walking. They quality of this shoe is great
New Balance Mens 520 V8,4.3,60.0,https://m.media-amazon.com/images/I/61MvnEuCoBL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable and well-made, with plenty of room for feet and a classic dad style. They are lightweight and good value for money, and customers consider them excellent for running and walking. While some customers find them sturdy and lasting, others report issues with the interior coming apart and the soles showing signs of wear.",Men,A Fantastic Everyday Trainer and Great Value!I
New Balance Mens 574 Core,4.6,,https://m.media-amazon.com/images/I/61uqRLMMYyL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/61uqRLMMYyL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance New Balance,"Customers find these sneakers comfortable, well-made, and appreciate their style, with one noting they look newer for longer. The shoes are versatile for both gym and casual wear, and customers consider them excellent value for money. The fit receives mixed feedback, with some finding them true to size while others say they're too narrow in the front. Durability is also mixed, with some saying they last over a year while others report the suede tearing after less than six months. The color receives mixed reviews. Customers find these sneakers comfortable, stylish, and good value for money, with one customer noting they're perfect for walking all day. The shoes receive positive feedback for their quality and wearability, though opinions about fit and size are mixed - while some find them a perfect fit, others mention they run small and are not suitable for wide feet. Durability also receives mixed reviews, with some customers reporting they hold up well while others mention issues with suede tearing after 6 months of use.",Men Men,I purchased these for my son. He really likes them and wears them on most days above his other shoes. Comfortable and look great. Shoe quality is great.
New Balance Mens 608 V5 Casual Comfort Cross Trainer,4.6,64.0,https://m.media-amazon.com/images/I/71vdp4uqBqL._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance,"Customers find these shoes comfortable, well-made, and appreciate their long-lasting durability, noting they wear well for several years. They provide good arch support, particularly with inserts, and customers consider them excellent value for money. The size receives mixed feedback - while some say they are true to size and width, others find them too small.",Men,I am thoroughly amazed and grateful these are just what I needed. My last pair of NB were walking shoes and was last bought 5 or 6 years ago. I do tons of walking but don\
New Balance Mens 680v3,4.4,85.0,https://m.media-amazon.com/images/I/81or-fnJnhL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, well-designed, and appreciate their quality and value for money. The slides receive positive feedback for their soft cushioning while running. The fit and durability receive mixed reviews - while some customers say they're the correct size and hold up well, others find them too narrow for size D(M) and report durability issues.",Men,"I workout constantly and go through 4 to 5 pairs of athletic shoes every year. With all the physical demands placed on my footwear, I"
New Balance Mens 806 V1 Tennis,4.2,120.0,https://m.media-amazon.com/images/I/61TePzfz96L._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these tennis shoes excellent for actual play, comfortable, and lightweight, with good arch support and stability during quick lateral movements. The fit and size receive mixed feedback - while some find them a good fit, others report they're too tight in the toe box and one size too small. The slip resistance and durability also get mixed reviews, with some praising the traction on tile while others note the soles wear out quickly.",Men,"Comfortable, like walking on clouds. Fit perfectly. Always buy NB. For tennis too."
New Balance Mens 997H V1 Cross Trainer,4.4,95.0,https://m.media-amazon.com/images/I/51crknzDbFL._AC_SY395_SX395_QL70_ML2_.jpg,New Balance,"Customers find these sneakers excellent in quality, comfortable, and stylish, with spot-on colors and good value for money. They are very light, and one customer notes they are easy to style. The fit and sizing receive mixed feedback - while some find them a great fit, others report they are tight at the toe box and smaller than anticipated.",Men,"Worth the price, comfortable, and nice style"
New Balance Mens CT300 V3,4.1,90.0,https://m.media-amazon.com/images/I/41oR4Wx840L._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these sneakers comfortable and well-fitting. However, the build quality and style receive mixed feedback - while some find them nice, others say they seem low quality and look stupid. Moreover, the size and color match are also mixed aspects, with some finding the size 100% recommend while others say they're 2 inches too big, and some praising the colorway while others say it doesn't match. Additionally, the foam quality and tongue finish receive negative feedback, with customers noting the foam sticking out and the tongue being unfinished.",Men,"These are my son‘s favorite shoes. We were unable to get them at the shoe store however Amazon to the rescue. They’re exactly what he likes same brand quality, and size as he is used to."
New Balance Mens Dynasoft Nitrel V6,4.4,,https://m.media-amazon.com/images/I/51jI46tofPL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/51I9NItxmcL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/51EYvnb9-ML._AC_SY395_SX395_QL70_ML2_.jpg,New Balance New Balance New Balance,"Customers find these running shoes comfortable, well-fitting, particularly suitable for wide feet, and appreciate their good looks and value for money. They are lightweight and durable, though opinions on durability are mixed, with some saying they hold up well while others report them falling apart. Customers find these trail running shoes comfortable, well-made, and good value for money, with positive feedback about their fit, design, and support. The durability receives mixed reviews - while some find them durable, others note that the soles wear out quicker than expected. The sizing is also mixed, with customers appreciating the roominess but noting they run true to size. Customers find these running shoes comfortable, durable, and well-made. They appreciate the perfect fit and width, with one customer specifically noting the wide toe design.",Men Men Men,My son loves these shoes. He picked them over his usual favorite Adidas. He is wearing them in wide and loves how roomy the toe box is. As a mom I appreciate how well theyve held up to middle school. They still look nice and new. Definitely a quality shoe.
New Balance Mens Dynasoft Nitrel V6 Goretex,4.0,76.0,https://m.media-amazon.com/images/I/71mI0jlEW+L._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance,No summary available.,Men,Quality is pretty decent. I like the style of the shoes. True size and comfortable for wide feet. It doesnt feel heavy for a GORE-TEX shoes.
New Balance Mens Dynasoft Tektrel V1,4.4,57.0,https://m.media-amazon.com/images/I/61XgIQM3RHL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, well-designed, and perfect for trail running and hiking, with excellent traction that provides more grip than boots. They appreciate the wide fit that accommodates thicker socks, and one customer mentions the well-cushioned midsole. The durability receives mixed feedback, with one customer noting they hold up well to constant pounding.",Men,"Old, tired, new knees, like to walk in the woods for exercise - that describes me.Great fit, great comfort, aggravating laces - that describes these shoes.Got a great price on these. They are trail shoes and provide great traction and generally keep crap out of my socks and the shoes. I probably have 100 miles on them now and they\"
New Balance Mens Dynasoft Tektrel V1 Suede,4.5,66.0,https://m.media-amazon.com/images/I/51ex5ytAoyL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, stylish, and well-made, with good cushioning and arch support. They consider them a great value and appreciate their lightweight design. Regarding size, while some customers say they run true to size, others mention they run narrow and small.",Men,"True to size, comfy, great quality. Value for your money."
New Balance Mens Fresh Foam 520 V9,4.4,60.0,https://m.media-amazon.com/images/I/51cPEei-BDL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, well-made, and suitable for various activities including running, sports, and all-day wear. They appreciate the fit, particularly for wide feet, and consider them a good value, with one customer noting they don't hurt their feet at all. The shoes receive positive feedback for their lightweight design and arch support, with one customer mentioning they keep feet happy all day. Durability receives mixed reviews, with some finding them durable while others report issues with the toe area.",Men,"I’ve been wearing the New Balance Fresh Foam sneakers in the Vintage Indigo/NB Navy/Electric Sky color, and they are incredibly comfortable! From the very first step, I could feel the soft and supportive cushioning—my feet feel great even after hours of walking.They’re lightweight, breathable, and offer just the right amount of bounce for daily activities. Whether I’m running errands, going for a walk, or just out and about, these shoes keep my feet happy all day.On top of that, the design is sleek and modern—the color combo is really eye-catching without being too flashy.If you’re looking for everyday sneakers that combine comfort, quality, and style, I totally recommend these!"
New Balance Mens Fresh Foam 680 V7,4.5,90.0,https://m.media-amazon.com/images/I/81x3prh5twL._AC_SX395_SY395_QL70_ML2_.jpg,New Balance,"Customers find these running shoes comfortable and well-fitting, particularly noting they accommodate wide feet without being too tight across the foot. Customers praise the shoes for their quality, light weight, and good arch support, especially for those with narrow flat feet. The shoes receive positive feedback for their appearance and value for money. Customers disagree on the sizing accuracy.",Men,I love these shoes!
New Balance Mens Fresh Foam 680 V8,4.5,70.0,https://m.media-amazon.com/images/I/512zevmHJjL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, with one noting they're very forgiving on joints, and appreciate their excellent cushioning with plenty of foam. The shoes receive positive feedback for their quality, fit, and arch support, and customers consider them good value for money. Regarding size and durability, opinions are mixed - while some find the width perfect for their needs, others report the shoes run narrow, and while some say they hold up well over time, others mention they don't last.",Men,"I’ve been wearing the New Balance Fresh Foam 680v8 for a few weeks now, and I’m seriously impressed. Straight out of the box, they felt incredibly comfortable the Fresh Foam midsole provides soft cushioning without feeling too squishy.The fit is true to size, and the upper mesh is breathable yet supportive, making it great for both walks and light workouts. What really stands out is how stable and balanced my feet feel, even after hours of wear.Whether you’re standing all day, going for a run, or just need a dependable sneaker for daily use, this one hits the mark. Highly recommend for anyone looking for a durable and cushioned shoe without breaking the bank!"
New Balance Mens Fresh Foam Arishi V3,4.4,75.0,https://m.media-amazon.com/images/I/71QGjFrRnQL._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, lightweight, and suitable for various activities including working out, hiking, and general walking. The shoes receive positive feedback for their fit, particularly for wider feet, and their appearance, with one customer noting their foot-shaped design. While some customers report good arch support, others mention insufficient support and cushioning. The sizing receives mixed reviews, with some customers appreciating the roomy toe box while others find them too narrow.",Men,I love these. They
New Balance Mens Fresh Foam Arishi V4 SlipResistant,4.2,65.0,https://m.media-amazon.com/images/I/51dvDzyVFJL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, with one mentioning they reduce foot and knee pain, and appreciate their slip resistance and value for money. The shoes receive positive feedback for their workability, with one customer noting they're great for food service jobs. Customers disagree on the build quality, size, and support, and report durability issues with the shoes wearing down quickly.",Men,"These shoes are exactly what I wanted. They’re very comfortable. They do run a little small. I read the reviews and ordered a 11.5 when I wear an 11 in every other pair of New Balance I’ve owned. They fit very well by going up a half size.I have multiple problems with my feet and I need high quality shoes and I generally have bought New Balance for over 20 years. Without any breaking in, these shoes are comfortable and I felt less pain in my feet and knees. I like that they’re no slip. I like the traction because I work on slippery polished floors that are frequently wet.I’ve been wanting a pair of black shoes for quite a while and I’m so happy I found these. I definitely recommend them - BUT - order a little larger than your normal size."
New Balance Mens Fresh Foam Arishi V4 Tira Lux,4.5,,https://m.media-amazon.com/images/I/51Sjol01mXL._AC_SY395_SX395_QL70_FMwebp_.jpg https://m.media-amazon.com/images/I/71XbIXtH+2L._AC_SX395_SY395_QL70_FMwebp_.jpg,New Balance New Balance,"Customers find these running shoes comfortable, stylish, and lightweight, with good value for money. They fit well and are suitable for both walking and exercising, with one customer noting they're perfect for long-distance walking. Regarding size, while some customers say they run true to size, others mention they run slightly small. Customers find these running shoes comfortable and appreciate their traction, with one mentioning they're perfect for walking a lot. The fit receives mixed feedback.",Men Men,"Love these shoes! Super fast shipping, I got them next day. Great price and quality is what i expect. Will buy again!"
New Balance Mens Fresh Foam Arishi V4Running,4.4,60.0,https://m.media-amazon.com/images/I/71gGp6wuIgL._AC_SX395_SY395_QL70_ML2_.jpg,New Balance,"Customers find these running shoes extremely comfortable, well-made, and appreciate their good fit that conforms well to feet, with one customer noting they're suitable for wide feet. They receive positive feedback for their appearance, value for money, and lightweight design. Regarding size, while some customers find the wider sizes perfect, others report they run half a size too small. Moreover, durability receives mixed reviews, with some saying they last long while others report them falling apart within two weeks.",Men,I have been wearing the New Balance Men
New Balance Mens Fresh Foam Garo V1 Midcut,4.4,76.0,https://m.media-amazon.com/images/I/51jIWqMPHML._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, lightweight, and waterproof, with one mentioning they're perfect for wet weather. They appreciate the quality, with one customer noting they can wear them all day without another insole, and they like the style, with one highlighting the cool blue details. The fit receives mixed feedback, with some finding them great while others say they're way too narrow.",Men,Took to UK and Ireland. Great ankle support walking on cobble streets and uneven castle stairs. Feet stayed dry walking in wet grass. Comfortable. Great walking shoe. Walked for miles on some days and feet were happy. I
New Balance Mens Fresh Foam Garoe V1,4.6,88.0,https://m.media-amazon.com/images/I/71p994tRI0L._AC_SY395_SX395_QL70_ML2_.jpg,New Balance,"Customers find these running shoes comfortable, with feet not hurting and being perfectly wide enough for their feet. They receive positive feedback for their quality, style, and suitability for walking and running, with one customer noting they're ideal for long walks or extended wear. The cushioning and durability receive mixed reviews - while customers appreciate the cushioned feel, some mention the soles wear down quickly, and while some find them extra wide, others say they run small.",Men,These have been a great pair of shoes for about two years now and I wear them quite frequently. They have been durable and grip the ground well. I don
New Balance Mens Fresh Foam Rcvry V1 Slide,4.2,17.0,https://m.media-amazon.com/images/I/41w6wql+Q8L._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, stylish, and appreciate their cushioning that's neither too soft nor mushy. The shoes provide good support, with one customer noting they're great for those with back or hip pain, and customers report their feet don't slip while wearing them. While some customers say the shoes are great for wide feet, others find them too tight. The sizing receives mixed feedback, with some customers saying they fit well while others report sizing issues.",Men,"I wear these slides for doing work around the house, and they"
New Balance Mens Fresh Foam X 1080 V13Running,4.4,111.0,https://m.media-amazon.com/images/I/41oMHNILCiL._AC_SY395_SX395_QL70_ML2_.jpg,New Balance,"Customers find these running shoes extremely comfortable, with no pain or soreness on first wearing, and appreciate their build quality and cushioning, particularly noting the additional cushioning in the midsole area. The shoes are perfect for wide feet, and customers say they're great for both walking and running, with one customer comparing the experience to walking on air. While some customers report the shoes holding up well, others mention issues with them coming apart at the toe, and while some find them worth the price, others note they're not the cheapest option.",Men,"I’m on my second pair of 1080 v13s. When I first started running in them I wasn’t sure I liked them. There’s an extreme level of cushion that I wasn’t used to. Over a few weeks of using them though, I fell in love. These are some of my favorite shoes I’ve run in. They’re a bit heavy for track workouts or interval sessions but for just about everything else, these shoes are great. I’ve really enjoyed them on longer efforts. In long runs they’ve kept my legs fresh. When I pick up the pace to marathon effort, or maybe even a touch faster, I really feel like I’m able to get some good energy return. But of course, slow, recovery, or just plain easy runs are the bread and butter of the 1080s.These are also a great option for casual wear - so much comfort."
New Balance Mens Fresh Foam X 1080 V14,4.4,165.0,https://m.media-amazon.com/images/I/51cCCnxBS0L._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, high quality, and appreciate their soft cushioning, with one customer noting they hug the feet like pillows. They are excellent for walking and running, making full-day wear easier. The fit receives mixed feedback - while some find them snug without being tight, others say they're too narrow in the toe box. Stability and durability also get mixed reviews, with some finding them stable and worth the price, while others report them falling apart quickly and not being worth the cost.",Men,"This is my second pair of 1080s, and the V14 just took things to another level. I wear these for everything — running, long walks, even just daily errands — and they’ve honestly become my favorite all-around shoe.The Fresh Foam X cushioning is the real deal. It feels soft but still gives me enough bounce, especially when I’m putting in a few miles on pavement. There’s no weird break-in period — they felt great right out of the box.What I noticed most with this version is the improved upper — it wraps around your foot more snugly without feeling tight. It breathes well too, which I appreciate here in Florida. My feet don’t feel overheated even on long runs.I have slightly wide feet and went with the standard width, and they still felt roomy enough in the toe box. Sizing was true for me. The traction is solid too — I haven’t had any slipping, even on damp sidewalks.If you"
New Balance Mens Fresh Foam X 1440 V1,4.2,65.0,https://m.media-amazon.com/images/I/51M6fSCr4sL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes comfortable, well-made, and lightweight, with lots of cushioning that keeps feet feeling good. They appreciate the look and consider them well worth the price. The fit and size receive mixed feedback - while some find them a great fit and wide enough, others say they run a bit small and are narrower than usual.",Men,These so far are pretty good shoes. I got them in wide but I probably could
New Balance Mens Fresh Foam X 1540 V4,3.4,150.0,https://m.media-amazon.com/images/I/51SZKuiMubL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers have mixed opinions about these running shoes, with some finding them comfortable and stable, while others report issues with the toe box being too small. The cushioning receives criticism for being very squishy, and customers express concerns about durability and material quality, describing them as made of paper-like materials.",Men,"Love the shoes , feel great ."
New Balance Mens Fresh Foam X 840V1,4.3,79.0,https://m.media-amazon.com/images/I/71pMkXnNesL._AC_SY395_SX395_QL70_FMwebp_.jpg,New Balance,"Customers find these running shoes exceptionally comfortable, well-built, and great for walking, with one customer noting the laces stretch for increased comfort. The shoes offer good support and cushioning, with one customer highlighting the excellent heel cushioning, and customers find them visually appealing. However, the fit receives mixed feedback, with some finding them perfect for wide feet while others say they run smaller than expected. Moreover, durability is a concern as several customers report the shoes falling apart after 35 days of use.",Men,A very comfortable and form fitting sneakers 👟 It is light weight and gives the feeling of walking on air. Another quality pair from New Balance.
